127.0.0.1 - - [28/Jul/2023:11:38:59 +0530] "GET / HTTP/1.1" 200 11435
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:39:01 +0530] "GET /Job_Application_Portal/ HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:39:02 +0530] "GET /Job_Application_Portal/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:39:09 +0530] "GET /Job_Application_Portal/home.jsp?username=&password=&portNumber= HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:39:09 +0530] "GET /Job_Application_Portal/bg.mov HTTP/1.1" 206 10682368
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:39:09 +0530] "GET /Job_Application_Portal/bg.mov HTTP/1.1" 206 48273
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:39:09 +0530] "GET /Job_Application_Portal/bg.mov HTTP/1.1" 206 16170129
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:39:10 +0530] "GET /Job_Application_Portal/bg.mov HTTP/1.1" 206 6520832
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:39:22 +0530] "GET /Job_Application_Portal/hireTalent.jsp HTTP/1.1" 500 11174
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:39:24 +0530] "GET /Job_Application_Portal/bg.mov HTTP/1.1" 206 3112960
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:39:24 +0530] "GET /Job_Application_Portal/bg.mov HTTP/1.1" 206 2457600
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:39:38 +0530] "GET /Job_Application_Portal/hireTalent.jsp HTTP/1.1" 200 9515
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:39:38 +0530] "GET /Job_Application_Portal/hireTalent.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:39:38 +0530] "GET /Job_Application_Portal/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:39:53 +0530] "GET /Job_Application_Portal/home.jsp HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:39:54 +0530] "GET /Job_Application_Portal/bg.mov HTTP/1.1" 206 22658193
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:39:54 +0530] "GET /Job_Application_Portal/bg.mov HTTP/1.1" 206 15121553
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:40:22 +0530] "GET /Job_Application_Portal/index.jsp HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:52:54 +0530] "GET /Job_Application_Portal/home.jsp?username=&password=&portNumber= HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:52:54 +0530] "GET /Job_Application_Portal/bg.mov HTTP/1.1" 206 10682368
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:52:55 +0530] "GET /Job_Application_Portal/bg.mov HTTP/1.1" 206 1048576
0:0:0:0:0:0:0:1 - - [28/Jul/2023:11:52:56 +0530] "GET /Job_Application_Portal/bg.mov HTTP/1.1" 206 4390912
0:0:0:0:0:0:0:1 - - [28/Jul/2023:12:31:23 +0530] "GET /Job_Application_Portal/hireTalent.jsp HTTP/1.1" 200 9515
0:0:0:0:0:0:0:1 - - [28/Jul/2023:12:31:26 +0530] "GET /Job_Application_Portal/home.jsp HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [28/Jul/2023:12:31:26 +0530] "GET /Job_Application_Portal/bg.mov HTTP/1.1" 206 22658193
0:0:0:0:0:0:0:1 - - [28/Jul/2023:12:31:26 +0530] "GET /Job_Application_Portal/bg.mov HTTP/1.1" 206 15121553
